oblast,raion,hromada,level,started_at,finished_at,source,duration_min
Kyiv City,,,oblast,2022-03-23 19:49:23+00:00,2022-03-23 20:46:22+00:00,official,56.983333333333334
Kyiv City,,,oblast,2022-03-23 22:32:57+00:00,2022-03-23 23:54:01+00:00,official,81.06666666666666
Kyiv City,,,oblast,2022-03-24 05:49:48+00:00,2022-03-24 06:47:46+00:00,official,57.96666666666667
Kyiv City,,,oblast,2022-03-24 09:27:54+00:00,2022-03-24 10:04:13+00:00,official,36.31666666666667
Kyiv City,,,oblast,2022-03-24 10:14:17+00:00,2022-03-24 10:27:41+00:00,official,13.4
Kyiv City,,,oblast,2022-03-24 10:31:31+00:00,2022-03-24 10:45:36+00:00,official,14.083333333333334
Kyiv City,,,oblast,2022-03-24 17:31:01+00:00,2022-03-24 19:03:02+00:00,official,92.01666666666667
Kyiv City,,,oblast,2022-03-24 22:08:46+00:00,2022-03-24 22:30:54+00:00,official,22.133333333333333
Kyiv City,,,oblast,2022-03-25 04:39:56+00:00,2022-03-25 07:06:23+00:00,official,146.45
Kyiv City,,,oblast,2022-03-25 10:56:26+00:00,2022-03-25 11:52:35+00:00,official,56.15
Kyiv City,,,oblast,2022-03-25 12:22:36+00:00,2022-03-25 13:14:15+00:00,official,51.65
Kyiv City,,,oblast,2022-03-25 13:34:40+00:00,2022-03-25 15:32:43+00:00,official,118.05
Kyiv City,,,oblast,2022-03-25 15:43:40+00:00,2022-03-25 19:35:33+00:00,official,231.88333333333333
Kyiv City,,,oblast,2022-03-25 21:25:08+00:00,2022-03-25 22:35:16+00:00,official,70.13333333333334
Kyiv City,,,oblast,2022-03-26 03:48:13+00:00,2022-03-26 04:39:01+00:00,official,50.8
Kyiv City,,,oblast,2022-03-26 08:59:28+00:00,2022-03-26 09:54:29+00:00,official,55.016666666666666
Kyiv City,,,oblast,2022-03-26 11:16:36+00:00,2022-03-26 14:28:56+00:00,official,192.33333333333334
Kyiv City,,,oblast,2022-03-26 14:47:14+00:00,2022-03-26 16:56:54+00:00,official,129.66666666666666
Kyiv City,,,oblast,2022-03-26 23:29:58+00:00,2022-03-27 00:02:26+00:00,official,32.46666666666667
Kyiv City,,,oblast,2022-03-27 13:27:11+00:00,2022-03-27 13:59:55+00:00,official,32.733333333333334
Kyiv City,,,oblast,2022-03-27 14:17:52+00:00,2022-03-27 14:44:08+00:00,official,26.266666666666666
Kyiv City,,,oblast,2022-03-27 17:15:41+00:00,2022-03-27 19:55:17+00:00,official,159.6
Kyiv City,,,oblast,2022-03-27 20:00:35+00:00,2022-03-27 21:05:12+00:00,official,64.61666666666666
Kyiv City,,,oblast,2022-03-27 21:12:05+00:00,2022-03-27 22:56:20+00:00,official,104.25
Kyiv City,,,oblast,2022-03-28 00:40:32+00:00,2022-03-28 02:07:58+00:00,official,87.43333333333334
Kyiv City,,,oblast,2022-03-28 09:49:07+00:00,2022-03-28 10:22:58+00:00,official,33.85
Kyiv City,,,oblast,2022-03-28 12:06:59+00:00,2022-03-28 14:43:40+00:00,official,156.68333333333334
Kyiv City,,,oblast,2022-03-28 17:22:42+00:00,2022-03-28 18:45:52+00:00,official,83.16666666666667
Kyiv City,,,oblast,2022-03-28 20:57:01+00:00,2022-03-28 21:00:59+00:00,official,3.966666666666667
Kyiv City,,,oblast,2022-03-29 00:42:30+00:00,2022-03-29 01:30:09+00:00,official,47.65
Kyiv City,,,oblast,2022-03-29 04:44:32+00:00,2022-03-29 05:40:31+00:00,official,55.983333333333334
Kyiv City,,,oblast,2022-03-29 08:03:55+00:00,2022-03-29 09:14:00+00:00,official,70.08333333333333
